Department,Series,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Information Technology,Budget,450,450,470,475,475,500,500,500,500,500,500,500
Information Technology,Actual,463,472,483,488,490,534,557,563,552,542,263,0
Executive,Budget,250,255,260,265,270,275,280,290,300,305,310,400
Executive,Actual,246,253,375,376,384,388,394,394,394,396,201,0
Facilities,Budget,190,190,180,170,170,180,190,200,200,190,190,200
Facilities,Actual,193,195,186,174,166,168,200,210,208,183,87,0
Finance,Budget,100,100,100,110,110,110,120,120,120,120,120,120
Finance,Actual,96,95,95,98,101,109,110,112,112,113,66,0
Human Resources,Budget,50,50,50,51,51,51,52,52,52,53,53,53
Human Resources,Actual,51,64,58,53,50,50,48,47,49,50,25,0
Marketing,Budget,100,100,100,100,100,100,100,100,100,100,150,150
Marketing,Actual,99,97,95,97,104,152,89,90,86,93,73,0
Sales,Budget,510,475,475,505,480,480,510,485,485,515,490,490
Sales,Actual,524,458,467,503,489,480,512,479,484,514,247,0
Technical Support,Budget,35,35,35,36,36,36,37,37,37,38,38,38
Technical Support,Actual,29,28,28,27,26,26,25,25,26,25,13,0
